Borough,SEX,RACE/ETHNICITY,TOTAL NUMBER OF HIV DIAGNOSES,"HIV DIAGNOSES PER 100,000 POPULATION",TOTAL NUMBER OF CONCURRENT HIV/AIDS DIAGNOSES,PROPORTION OF CONCURRENT HIV/AIDS DIAGNOSES AMONG ALL HIV DIAGNOSES,TOTAL NUMBER OF AIDS DIAGNOSES,"AIDS DIAGNOSES PER 100,000 POPULATION"
Bronx,Female,Black,15,50.1,3,20,16,53.4
Bronx,Female,Latino/Hispanic,5,8.5,0,0,2,3.4
Bronx,Male,Black,34,132.6,5,14.7,25,97.5
Bronx,Male,Latino/Hispanic,56,113.1,10,17.9,23,46.5
Bronx,Male,White,1,51.2,0,0,3,153.7
Bronx,Female,Black,4,25.1,1,25,5,31.4
Bronx,Female,Latino/Hispanic,5,12.3,1,20,3,7.4
Bronx,Male,Black,16,114.6,3,18.8,18,128.9
Bronx,Male,Latino/Hispanic,23,63.5,7,30.4,17,46.9
Bronx,Female,Latino/Hispanic,2,10.5,0,0,0,0
Bronx,Male,"Asian/Pacific
Islander",1,57.6,0,0,0,0
Bronx,Male,Black,4,99.8,1,25,1,24.9
Bronx,Male,Latino/Hispanic,6,40.2,1,16.7,2,13.4
Bronx,Male,White,2,14.5,0,0,0,0
Bronx,Female,Black,7,12.2,2,28.6,10,17.4
Bronx,Female,Latino/Hispanic,2,8.3,0,0,1,4.1
Bronx,Male,Black,23,52,4,17.4,9,20.3
Bronx,Male,Latino/Hispanic,11,55.8,2,18.2,8,40.6
Bronx,Female,Black,11,38.2,3,27.3,7,24.3
Bronx,Female,Latino/Hispanic,6,8.6,1,16.7,8,11.5
Bronx,Male,"Asian/Pacific
Islander",2,20.4,0,0,1,10.2
Bronx,Male,Black,18,76.2,3,16.7,19,80.5
Bronx,Male,Latino/Hispanic,29,48.6,8,27.6,19,31.8
Bronx,Male,Other/Unknown,1,63.1,0,0,0,0
Bronx,Male,White,2,9.8,0,0,1,4.9
Brooklyn,Female,"Asian/Pacific
Islander",2,1.4,0,0,0,0
Brooklyn,Female,Black,72,19.5,13,18.1,69,18.7
Brooklyn,Female,Latino/Hispanic,15,7.4,3,20,16,7.9
Brooklyn,Female,Other/Unknown,2,9.7,1,50,1,4.8
Brooklyn,Female,White,8,2,1,12.5,9,2.2
Brooklyn,Male,"Asian/Pacific
Islander",10,7.8,5,50,9,7
Brooklyn,Male,Black,192,68.7,25,13,107,38.3
Brooklyn,Male,Latino/Hispanic,90,47.8,13,14.4,41,21.8
Brooklyn,Male,Other/Unknown,7,41.4,0,0,1,5.9
Brooklyn,Male,White,58,15.3,5,8.6,12,3.2
Brooklyn,Female,Black,27,28.1,3,11.1,28,29.1
Brooklyn,Female,Latino/Hispanic,5,24.6,1,20,3,14.7
Brooklyn,Female,White,1,3.6,0,0,1,3.6
Brooklyn,Male,"Asian/Pacific
Islander",2,44.4,2,100,2,44.4
Brooklyn,Male,Black,55,75.7,4,7.3,27,37.2
Brooklyn,Male,Latino/Hispanic,13,79.7,3,23.1,9,55.2
Brooklyn,Male,White,8,29.1,1,12.5,3,10.9
Brooklyn,Female,Latino/Hispanic,1,7.9,0,0,2,15.7
Brooklyn,Female,White,2,4.2,0,0,2,4.2
Brooklyn,Male,Black,1,61.1,0,0,0,0
Brooklyn,Male,Latino/Hispanic,6,44.1,1,16.7,2,14.7
Brooklyn,Male,White,9,21.3,1,11.1,1,2.4
Brooklyn,Female,"Asian/Pacific
Islander",1,3.3,0,0,0,0
Brooklyn,Female,Other/Unknown,1,42.1,1,100,1,42.1
Brooklyn,Male,"Asian/Pacific
Islander",3,10.1,1,33.3,2,6.8
Brooklyn,Male,Black,3,59.1,1,33.3,1,19.7
Brooklyn,Male,Latino/Hispanic,1,5.9,0,0,1,5.9
Brooklyn,Male,White,3,4.4,0,0,1,1.5
