Borough,SEX,RACE/ETHNICITY,TOTAL NUMBER OF HIV DIAGNOSES,"HIV DIAGNOSES PER 100,000 POPULATION",TOTAL NUMBER OF CONCURRENT HIV/AIDS DIAGNOSES,PROPORTION OF CONCURRENT HIV/AIDS DIAGNOSES AMONG ALL HIV DIAGNOSES,TOTAL NUMBER OF AIDS DIAGNOSES,"AIDS DIAGNOSES PER 100,000 POPULATION"
Brooklyn,Male,Black,3,51.1,1,33.3,3,51.1
Brooklyn,Male,Latino/Hispanic,6,45.5,2,33.3,3,22.7
Brooklyn,Male,White,7,10.1,2,28.6,4,5.8
Brooklyn,Female,Black,5,27,2,40,4,21.6
Brooklyn,Female,White,2,3.1,0,0,0,0
Brooklyn,Male,"Asian/Pacific
Islander",1,11.3,0,0,0,0
Brooklyn,Male,Black,7,53,1,14.3,3,22.7
Brooklyn,Male,Latino/Hispanic,4,26.5,2,50,2,13.3
Brooklyn,Male,White,10,16.5,1,10,2,3.3
Brooklyn,Female,Black,19,20,6,31.6,11,11.6
Brooklyn,Female,Latino/Hispanic,3,23,0,0,2,15.4
Brooklyn,Female,Other/Unknown,1,44.3,0,0,0,0
Brooklyn,Male,Black,42,58.1,11,26.2,26,36
Brooklyn,Male,Latino/Hispanic,9,79.7,3,33.3,7,62
Brooklyn,Male,White,2,10.3,1,50,1,5.1
Brooklyn,Female,"Asian/Pacific
Islander",1,24.8,0,0,0,0
Brooklyn,Female,Black,11,23.8,2,18.2,7,15.2
Brooklyn,Female,Latino/Hispanic,1,3.5,0,0,1,3.5
Brooklyn,Male,Black,36,101.9,4,11.1,12,34
Brooklyn,Male,Latino/Hispanic,13,51.5,1,7.7,8,31.7
Brooklyn,Female,Latino/Hispanic,2,14.3,0,0,0,0
Brooklyn,Male,Black,4,199.8,1,25,1,49.9
Brooklyn,Male,Latino/Hispanic,2,16.2,1,50,1,8.1
Brooklyn,Male,White,2,5.1,0,0,0,0
Brooklyn,Female,Black,1,85.7,0,0,0,0
Brooklyn,Female,Latino/Hispanic,4,20.7,2,50,2,10.4
Brooklyn,Male,"Asian/Pacific
Islander",1,5.7,0,0,0,0
Brooklyn,Male,Black,1,60.5,0,0,0,0
Brooklyn,Male,Latino/Hispanic,2,9.4,0,0,1,4.7
Brooklyn,Female,Black,8,31,4,50,7,27.1
Brooklyn,Female,Latino/Hispanic,2,5.3,1,50,2,5.3
Brooklyn,Male,"Asian/Pacific
Islander",2,38.7,1,50,2,38.7
Brooklyn,Male,Black,20,96.2,1,5,11,52.9
Brooklyn,Male,Latino/Hispanic,15,43.1,4,26.7,8,23
Brooklyn,Male,White,13,57.3,6,46.2,6,26.4
Manhattan,Female,"Asian/Pacific
Islander",1,1,1,100,1,1
Manhattan,Female,Black,16,17.1,2,12.5,19,20.3
Manhattan,Female,Latino/Hispanic,15,8.1,5,33.3,13,7.1
Manhattan,Female,Other/Unknown,1,6.7,0,0,0,0
Manhattan,Female,White,1,0.3,0,0,2,0.6
Manhattan,Male,"Asian/Pacific
Islander",7,8.7,2,28.6,7,8.7
Manhattan,Male,Black,98,121.4,17,17.3,60,74.3
Manhattan,Male,Latino/Hispanic,82,49.9,14,17.1,51,31.1
Manhattan,Male,Other/Unknown,3,25.2,2,66.7,5,42
Manhattan,Male,White,58,17.5,9,15.5,43,13
Manhattan,Female,Black,7,17,1,14.3,7,17
Manhattan,Female,Latino/Hispanic,1,5,0,0,1,5
Manhattan,Female,White,1,7.1,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",1,24.6,0,0,0,0
Manhattan,Male,Black,30,89.4,5,16.7,22,65.6
Manhattan,Male,Latino/Hispanic,11,65.1,2,18.2,4,23.7
Manhattan,Male,White,4,29.2,0,0,3,21.9
Manhattan,Female,Black,1,28.2,0,0,1,28.2
Manhattan,Male,"Asian/Pacific
Islander",1,8.4,1,100,2,16.7
Manhattan,Male,Black,17,400.4,5,29.4,8,188.4
Manhattan,Male,Latino/Hispanic,20,170.2,2,10,14,119.2
Manhattan,Male,White,13,27.1,2,15.4,15,31.3
Manhattan,Female,Black,5,31.7,0,0,5,31.7
Manhattan,Female,Latino/Hispanic,4,17.9,2,50,4,17.9
Manhattan,Male,Black,10,78.9,1,10,4,31.5
Manhattan,Male,Latino/Hispanic,13,64.8,3,23.1,4,19.9
Manhattan,Female,Latino/Hispanic,1,19.1,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",1,10.7,0,0,0,0
Manhattan,Male,Black,2,69.6,0,0,4,139.2
Manhattan,Male,Latino/Hispanic,4,81.2,0,0,3,60.9
Manhattan,Male,White,7,17.8,0,0,3,7.6
Manhattan,Female,Black,1,156.5,0,0,0,0
Manhattan,Male,Black,4,335.7,1,25,2,167.9
Manhattan,Male,Latino/Hispanic,1,35.1,0,0,0,0
Manhattan,Male,White,8,31.2,1,12.5,6,23.4
Manhattan,Female,Latino/Hispanic,1,34.5,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",1,17.5,0,0,0,0
Manhattan,Male,Black,2,145.4,0,0,2,145.4
Manhattan,Male,White,2,11.6,0,0,0,0
Manhattan,Female,"Asian/Pacific
Islander",1,4.3,1,100,1,4.3
Manhattan,Female,Latino/Hispanic,2,11.1,1,50,1,5.6
Manhattan,Male,"Asian/Pacific
Islander",2,10.3,0,0,0,0
Manhattan,Male,Black,8,145.5,1,12.5,2,36.4
Manhattan,Male,Latino/Hispanic,5,33.8,3,60,5,33.8
Manhattan,Male,White,3,8,1,33.3,6,16
Manhattan,Female,Latino/Hispanic,1,9.8,0,0,0,0
Manhattan,Male,Black,1,46.3,0,0,1,46.3
Manhattan,Male,Latino/Hispanic,1,12.3,0,0,2,24.6
Manhattan,Male,Other/Unknown,1,68.9,1,100,1,68.9
Manhattan,Male,White,4,6.5,0,0,1,1.6
Manhattan,Female,Other/Unknown,1,57.1,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",1,12.7,1,100,2,25.3
Manhattan,Male,Black,6,114.7,1,16.7,6,114.7
Manhattan,Male,Latino/Hispanic,1,7.2,1,100,8,58
Manhattan,Male,White,8,13.9,3,37.5,5,8.7
Manhattan,Female,Black,2,14.7,1,50,5,36.8
Manhattan,Female,Latino/Hispanic,5,6.6,2,40,4,5.3
Manhattan,Male,Black,16,134.4,2,12.5,6,50.4
Manhattan,Male,Latino/Hispanic,24,35,3,12.5,10,14.6
Manhattan,Male,Other/Unknown,2,134.9,1,50,1,67.5
Manhattan,Male,White,8,33.3,2,25,3,12.5
Queens,Female,"Asian/Pacific
Islander",4,1.5,0,0,1,0.4
Queens,Female,Black,21,11,2,9.5,11,5.8
Queens,Female,Latino/Hispanic,11,4.3,0,0,3,1.2
Queens,Female,White,5,2,1,20,2,0.8
Queens,Male,"Asian/Pacific
Islander",33,13.4,9,27.3,12,4.9
Queens,Male,Black,66,41.7,12,18.2,35,22.1
Queens,Male,Latino/Hispanic,103,39.9,24,23.3,49,19
Queens,Male,Other/Unknown,2,10.4,0,0,1,5.2
Queens,Male,White,31,13,8,25.8,12,5
Queens,Female,"Asian/Pacific
Islander",1,1.6,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",5,9.3,1,20,2,3.7
Queens,Male,Black,2,108.2,1,50,1,54.1
Queens,Male,Latino/Hispanic,8,46.7,1,12.5,3,17.5
Queens,Male,White,1,3.7,0,0,1,3.7
Queens,Male,"Asian/Pacific
Islander",1,6.8,1,100,1,6.8
Queens,Male,Black,2,79.3,0,0,1,39.7
Queens,Male,Latino/Hispanic,2,31,1,50,1,15.5
Queens,Female,"Asian/Pacific
Islander",2,6.7,0,0,1,3.3
Queens,Female,Black,6,7.8,0,0,5,6.5
Queens,Female,Latino/Hispanic,2,9.2,0,0,1,4.6
Queens,Female,White,1,11.6,1,100,2,23.2
Queens,Male,"Asian/Pacific
Islander",5,17.6,1,20,2,7
Queens,Male,Black,22,36.2,4,18.2,11,18.1
Queens,Male,Latino/Hispanic,8,36.8,3,37.5,6,27.6
Queens,Male,Other/Unknown,1,31.3,0,0,0,0
Queens,Female,Black,2,37.3,1,50,1,18.6
Queens,Female,Latino/Hispanic,1,4.7,0,0,0,0
Queens,Female,White,1,2.4,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",6,39.1,2,33.3,2,13
Queens,Male,Black,2,46.1,0,0,5,115.3
Queens,Male,Latino/Hispanic,11,54.2,2,18.2,6,29.6
Queens,Male,White,12,27.2,3,25,3,6.8
Queens,Female,Latino/Hispanic,1,3.2,0,0,0,0
Queens,Female,White,2,3.5,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",1,5.6,0,0,0,0
Queens,Male,Black,7,289,1,14.3,1,41.3
Queens,Male,Latino/Hispanic,10,35.9,1,10,3,10.8
Queens,Male,White,6,11.5,2,33.3,2,3.8
Queens,Female,Black,3,13.8,0,0,1,4.6
Queens,Male,"Asian/Pacific
Islander",1,45.7,1,100,1,45.7
Queens,Male,Black,9,52.5,2,22.2,7,40.8
Queens,Male,Latino/Hispanic,4,35.3,1,25,2,17.7
Queens,Male,White,3,17.9,0,0,0,0
Queens,Female,Black,5,9.2,0,0,0,0
Queens,Male,Black,13,28.8,2,15.4,5,11.1
Queens,Male,Latino/Hispanic,4,37.9,0,0,0,0
Queens,Male,Other/Unknown,1,43.2,0,0,0,0
Queens,Female,Black,4,32.4,1,25,1,8.1
Queens,Female,Latino/Hispanic,2,5,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",7,19.4,0,0,1,2.8
Queens,Male,Black,7,61.8,2,28.6,3,26.5
Queens,Male,Latino/Hispanic,7,18.4,2,28.6,4,10.5
Queens,Male,White,1,4.4,1,100,2,8.8
Queens,Female,"Asian/Pacific
Islander",1,1.9,0,0,0,0
Queens,Female,Black,1,10.6,0,0,3,31.8
Queens,Female,Latino/Hispanic,5,5.7,0,0,1,1.1
Queens,Female,White,1,3.4,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",7,14.6,3,42.9,3,6.2
Queens,Male,Black,2,17.5,0,0,1,8.7
Queens,Male,Latino/Hispanic,49,48.5,13,26.5,23,22.8
Queens,Male,White,8,27.2,2,25,3,10.2
"Staten
Island",Female,"Asian/Pacific
Islander",1,4.1,0,0,0,0
"Staten
Island",Female,Black,1,5,0,0,0,0
"Staten
Island",Female,Latino/Hispanic,2,5.5,0,0,0,0
"Staten
Island",Male,"Asian/Pacific
Islander",2,8.9,0,0,0,0
"Staten
Island",Male,Black,10,59.1,1,10,4,23.6
"Staten
Island",Male,Latino/Hispanic,4,11.7,0,0,5,14.6
"Staten
Island",Male,Other/Unknown,1,37.1,0,0,0,0
"Staten
Island",Male,White,4,3.4,3,75,6,5.1
"Staten
Island",Female,Black,1,13,0,0,0,0
"Staten
Island",Male,"Asian/Pacific
Islander",2,75.4,0,0,0,0
"Staten
Island",Male,Black,2,31,0,0,1,15.5
"Staten
Island",Male,Latino/Hispanic,1,10.2,0,0,0,0
"Staten
Island",Male,Latino/Hispanic,2,22.2,0,0,2,22.2
"Staten
Island",Male,Other/Unknown,1,118,0,0,0,0
"Staten
Island",Male,White,2,3.2,1,50,2,3.2
"Staten
Island",Female,Latino/Hispanic,2,18.7,0,0,0,0
"Staten
Island",Male,Black,6,73.6,1,16.7,2,24.5
"Staten
Island",Male,Latino/Hispanic,1,9.8,0,0,3,29.3
"Staten
Island",Male,White,2,8.3,2,100,4,16.6
"Staten
Island",Female,"Asian/Pacific
Islander",1,12.4,0,0,0,0
"Staten
Island",Male,Black,2,177,0,0,1,88.5
Bronx,Female,Black,44,23,12,27.3,46,24
Bronx,Female,Latino/Hispanic,28,7.8,2,7.1,39,10.8
Bronx,Male,"Asian/Pacific
Islander",4,16.4,1,25,3,12.3
Bronx,Male,Black,96,59,13,13.5,83,51
Bronx,Male,Latino/Hispanic,115,37.1,15,13,66,21.3
Bronx,Male,White,18,32,4,22.2,9,16
Bronx,Female,Black,6,23.8,2,33.3,7,27.7
Bronx,Female,Latino/Hispanic,6,9.4,1,16.7,10,15.7
Bronx,Male,"Asian/Pacific
Islander",2,107.5,1,50,1,53.7
Bronx,Male,Black,20,87.3,1,5,24,104.8
Bronx,Male,Latino/Hispanic,23,43,2,8.7,17,31.8
Bronx,Male,White,1,53.3,0,0,2,106.7
Bronx,Female,Black,8,31.1,4,50,11,42.7
Bronx,Female,Latino/Hispanic,4,5.2,0,0,6,7.8
Bronx,Male,"Asian/Pacific
Islander",1,24.7,0,0,1,24.7
Bronx,Male,Black,15,65.1,2,13.3,10,43.4
Bronx,Male,Latino/Hispanic,24,35.4,3,12.5,12,17.7
Bronx,Male,White,3,35.4,2,66.7,2,23.6
Bronx,Female,Black,13,41.6,3,23.1,11,35.2
Bronx,Female,Latino/Hispanic,4,6.7,0,0,5,8.4
Bronx,Male,Black,22,80.4,4,18.2,16,58.5
Bronx,Male,Latino/Hispanic,17,33.4,2,11.8,11,21.6
Bronx,Male,White,4,173.7,2,50,3,130.3
Bronx,Female,Black,4,23.8,0,0,2,11.9
Bronx,Female,Latino/Hispanic,8,19.3,1,12.5,7,16.9
Bronx,Male,Black,12,79.8,1,8.3,9,59.8
Bronx,Male,Latino/Hispanic,14,37.7,1,7.1,12,32.3
Bronx,Male,White,2,166.3,0,0,0,0
Bronx,Male,Latino/Hispanic,3,18.7,1,33.3,2,12.4
Bronx,Male,White,1,7.1,0,0,1,7.1
Bronx,Female,Black,7,11.9,2,28.6,9,15.3
Bronx,Female,Latino/Hispanic,4,15.7,0,0,1,3.9
Bronx,Male,Black,8,17.2,1,12.5,13,27.9
Bronx,Male,Latino/Hispanic,10,47.4,1,10,4,19
Bronx,Male,White,1,13.4,0,0,0,0
Bronx,Female,Black,6,21.5,1,16.7,6,21.5
Bronx,Female,Latino/Hispanic,2,2.7,0,0,10,13.6
Bronx,Male,"Asian/Pacific
Islander",1,9,0,0,0,0
Bronx,Male,Black,19,80.9,4,21.1,8,34.1
Bronx,Male,Latino/Hispanic,24,37.9,5,20.8,8,12.6
Bronx,Male,White,6,28.6,0,0,1,4.8
Brooklyn,Female,"Asian/Pacific
Islander",1,0.7,0,0,2,1.3
Brooklyn,Female,Black,64,16.7,17,26.6,52,13.6
Brooklyn,Female,Latino/Hispanic,17,7.9,5,29.4,14,6.5
Brooklyn,Female,Other/Unknown,2,8.8,0,0,0,0
Brooklyn,Female,White,4,0.9,1,25,5,1.2
Brooklyn,Male,"Asian/Pacific
Islander",7,5.1,1,14.3,4,2.9
Brooklyn,Male,Black,196,66.3,40,20.4,98,33.1
Brooklyn,Male,Latino/Hispanic,72,35.8,19,26.4,52,25.9
Brooklyn,Male,Other/Unknown,1,5.3,0,0,0,0
Brooklyn,Male,White,49,11.9,11,22.4,19,4.6
Brooklyn,Female,Black,13,13.1,2,15.4,16,16.2
Brooklyn,Female,Latino/Hispanic,2,9.3,2,100,6,27.8
Brooklyn,Female,Other/Unknown,1,27.2,0,0,0,0
Brooklyn,Male,Black,68,89.4,15,22.1,28,36.8
Brooklyn,Male,Latino/Hispanic,11,62.5,3,27.3,11,62.5
Brooklyn,Male,Other/Unknown,1,39.2,0,0,0,0
Brooklyn,Male,White,6,18.5,1,16.7,2,6.2
Brooklyn,Male,Latino/Hispanic,2,13.7,1,50,2,13.7
Brooklyn,Male,White,3,6.6,0,0,2,4.4
Brooklyn,Male,"Asian/Pacific
Islander",3,9.2,0,0,2,6.1
Brooklyn,Male,Black,1,17.3,0,0,0,0
Brooklyn,Male,Latino/Hispanic,6,33.6,4,66.7,5,28
Brooklyn,Male,White,4,5.5,0,0,2,2.7
Brooklyn,Female,Black,7,10.5,1,14.3,4,6
Brooklyn,Female,Latino/Hispanic,2,20.8,0,0,0,0
Brooklyn,Female,White,1,5.4,0,0,0,0
Brooklyn,Male,Black,15,30.2,6,40,13,26.2
Brooklyn,Male,White,1,5.9,0,0,0,0
Brooklyn,Female,Latino/Hispanic,1,6.7,0,0,0,0
Brooklyn,Female,White,1,1.2,1,100,2,2.4
Brooklyn,Male,Black,4,61.6,2,50,4,61.6
Brooklyn,Male,Latino/Hispanic,4,28.5,1,25,2,14.2
Brooklyn,Male,White,8,10.8,3,37.5,4,5.4
Brooklyn,Female,Black,6,31.8,3,50,5,26.5
Brooklyn,Female,White,2,2.8,0,0,0,0
Brooklyn,Male,"Asian/Pacific
Islander",1,10.1,0,0,0,0
Brooklyn,Male,Black,7,51.4,1,14.3,3,22
Brooklyn,Male,Latino/Hispanic,6,36.7,2,33.3,3,18.4
Brooklyn,Male,White,10,14.8,1,10,1,1.5
Brooklyn,Female,Black,19,19.1,6,31.6,11,11.1
Brooklyn,Female,Latino/Hispanic,3,21.2,0,0,2,14.1
Brooklyn,Female,Other/Unknown,1,34,0,0,0,0
Brooklyn,Male,Black,43,56,10,23.3,25,32.6
Brooklyn,Male,Latino/Hispanic,8,64.4,2,25,7,56.3
Brooklyn,Male,White,2,9.2,1,50,1,4.6
Brooklyn,Female,"Asian/Pacific
Islander",1,22.8,0,0,0,0
Brooklyn,Female,Black,11,22.2,1,9.1,6,12.1
Brooklyn,Female,Latino/Hispanic,2,6.4,0,0,1,3.2
Brooklyn,Male,Black,34,88.4,4,11.8,10,26
Brooklyn,Male,Latino/Hispanic,15,53.7,1,6.7,8,28.6
Brooklyn,Female,Latino/Hispanic,2,13.6,0,0,0,0
Brooklyn,Male,Black,5,205.8,1,20,2,82.3
Brooklyn,Male,Latino/Hispanic,1,7.6,1,100,2,15.2
Brooklyn,Male,White,3,7.5,0,0,0,0
Brooklyn,Female,Latino/Hispanic,3,14.8,2,66.7,2,9.9
Brooklyn,Male,"Asian/Pacific
Islander",1,5.7,0,0,0,0
Brooklyn,Male,Black,1,49.3,0,0,0,0
Brooklyn,Male,Latino/Hispanic,3,13.3,0,0,0,0
Brooklyn,Female,Black,8,29.6,4,50,7,25.9
Brooklyn,Female,Latino/Hispanic,2,5,1,50,2,5
Brooklyn,Male,"Asian/Pacific
Islander",2,37,1,50,2,37
Brooklyn,Male,Black,18,81.4,1,5.6,12,54.2
Brooklyn,Male,Latino/Hispanic,16,43.2,4,25,9,24.3
Brooklyn,Male,White,12,45.5,5,41.7,6,22.7
Manhattan,Female,"Asian/Pacific
Islander",1,0.9,1,100,1,0.9
Manhattan,Female,Black,13,13.5,0,0,19,19.7
Manhattan,Female,Latino/Hispanic,15,7.9,5,33.3,13,6.8
Manhattan,Female,Other/Unknown,1,6.4,0,0,0,0
Manhattan,Female,White,1,0.3,0,0,2,0.5
Manhattan,Male,"Asian/Pacific
Islander",7,8.4,2,28.6,7,8.4
Manhattan,Male,Black,99,117.1,15,15.2,60,71
Manhattan,Male,Latino/Hispanic,83,48.2,14,16.9,49,28.5
Manhattan,Male,Other/Unknown,2,15.9,1,50,4,31.7
Manhattan,Male,White,59,16.7,10,16.9,45,12.7
Manhattan,Female,Black,7,16.4,0,0,7,16.4
Manhattan,Female,Latino/Hispanic,1,4.8,0,0,1,4.8
Manhattan,Female,White,1,6.6,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",1,22.6,0,0,0,0
Manhattan,Male,Black,32,90.2,5,15.6,23,64.8
Manhattan,Male,Latino/Hispanic,11,62.3,2,18.2,4,22.6
Manhattan,Male,White,3,19.9,0,0,3,19.9
Manhattan,Female,Black,1,31.1,0,0,1,31.1
Manhattan,Male,"Asian/Pacific
Islander",1,8.6,1,100,2,17.1
Manhattan,Male,Black,15,385.2,4,26.7,8,205.4
Manhattan,Male,Latino/Hispanic,20,166.7,2,10,12,100
Manhattan,Male,White,14,28.1,2,14.3,16,32.2
Manhattan,Female,Black,4,24.9,0,0,5,31.1
Manhattan,Female,Latino/Hispanic,4,17.8,2,50,4,17.8
Manhattan,Male,Black,12,90.8,1,8.3,3,22.7
Manhattan,Male,Latino/Hispanic,12,58.4,3,25,4,19.5
Manhattan,Female,Latino/Hispanic,1,15.2,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",1,11.1,0,0,0,0
Manhattan,Male,Black,2,62.4,0,0,4,124.9
Manhattan,Male,Latino/Hispanic,4,64.1,0,0,2,32.1
Manhattan,Male,White,7,16.9,0,0,3,7.3
Manhattan,Male,Black,5,442.5,1,20,2,177
Manhattan,Male,Latino/Hispanic,1,31.1,0,0,0,0
Manhattan,Male,White,8,29,1,12.5,5,18.1
Manhattan,Female,Latino/Hispanic,1,33.3,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",1,18,0,0,0,0
Manhattan,Male,Black,2,126.6,0,0,1,63.3
Manhattan,Male,White,2,11.3,0,0,0,0
Manhattan,Female,"Asian/Pacific
Islander",1,4.1,1,100,1,4.1
Manhattan,Female,Latino/Hispanic,2,10.8,1,50,1,5.4
Manhattan,Male,"Asian/Pacific
Islander",2,9.8,0,0,0,0
Manhattan,Male,Black,6,105.4,0,0,1,17.6
Manhattan,Male,Latino/Hispanic,5,32.4,3,60,5,32.4
Manhattan,Male,White,4,9.9,2,50,7,17.3
Manhattan,Female,Latino/Hispanic,1,9.2,0,0,0,0
Manhattan,Male,Black,1,40.5,0,0,2,81.1
Manhattan,Male,Latino/Hispanic,1,11.5,0,0,2,23
Manhattan,Male,White,5,7.7,0,0,1,1.5
Manhattan,Female,Other/Unknown,1,50.2,0,0,0,0
Manhattan,Male,"Asian/Pacific
Islander",1,11.8,1,100,2,23.5
Manhattan,Male,Black,6,119.6,1,16.7,6,119.6
Manhattan,Male,Latino/Hispanic,3,21.2,1,33.3,9,63.7
Manhattan,Male,White,8,12.6,3,37.5,5,7.9
Manhattan,Female,Black,1,7,0,0,5,34.8
Manhattan,Female,Latino/Hispanic,5,6.5,2,40,4,5.2
Manhattan,Male,Black,17,132.4,2,11.8,7,54.5
Manhattan,Male,Latino/Hispanic,24,33.6,3,12.5,10,14
Manhattan,Male,Other/Unknown,2,115.5,1,50,1,57.8
Manhattan,Male,White,7,27.2,2,28.6,4,15.6
Queens,Female,"Asian/Pacific
Islander",3,1,0,0,1,0.3
Queens,Female,Black,21,10.4,2,9.5,11,5.5
Queens,Female,Latino/Hispanic,12,4.3,1,8.3,3,1.1
Queens,Female,White,5,1.9,1,20,3,1.1
Queens,Male,"Asian/Pacific
Islander",33,12.5,8,24.2,12,4.5
Queens,Male,Black,61,35.9,12,19.7,37,21.8
Queens,Male,Latino/Hispanic,112,40,28,25,55,19.6
Queens,Male,Other/Unknown,2,9.5,0,0,2,9.5
Queens,Male,White,33,12.6,8,24.2,12,4.6
Queens,Female,"Asian/Pacific
Islander",1,1.6,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",5,8.8,1,20,2,3.5
Queens,Male,Black,2,106.1,1,50,1,53
Queens,Male,Latino/Hispanic,8,40.5,1,12.5,2,10.1
Queens,Male,White,1,3.3,0,0,1,3.3
Queens,Male,"Asian/Pacific
Islander",1,6.3,1,100,1,6.3
Queens,Male,Latino/Hispanic,2,28.6,1,50,1,14.3
Queens,Female,"Asian/Pacific
Islander",2,6.4,0,0,1,3.2
Queens,Female,Black,5,6.1,0,0,5,6.1
Queens,Female,Latino/Hispanic,3,13.3,0,0,0,0
Queens,Female,White,1,10.2,1,100,2,20.4
Queens,Male,"Asian/Pacific
Islander",5,16.7,1,20,2,6.7
Queens,Male,Black,21,32.1,4,19,12,18.3
Queens,Male,Latino/Hispanic,8,35,3,37.5,8,35
Queens,Male,Other/Unknown,1,27.3,0,0,0,0
Queens,Female,Black,2,35.7,1,50,1,17.8
Queens,Female,Latino/Hispanic,1,4.5,0,0,0,0
Queens,Female,White,1,2.2,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",6,37.8,2,33.3,2,12.6
Queens,Male,Black,2,43.5,0,0,6,130.4
Queens,Male,Latino/Hispanic,11,50.3,2,18.2,6,27.4
Queens,Male,White,11,22.4,3,27.3,3,6.1
Queens,Female,Latino/Hispanic,1,2.9,0,0,0,0
Queens,Female,White,2,3.3,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",1,5.2,0,0,0,0
Queens,Male,Black,5,187.7,1,20,1,37.5
Queens,Male,Latino/Hispanic,12,38.2,2,16.7,5,15.9
Queens,Male,White,7,12.4,2,28.6,2,3.5
Queens,Female,Black,3,13.1,0,0,1,4.4
Queens,Male,"Asian/Pacific
Islander",1,33.7,1,100,1,33.7
Queens,Male,Black,9,49.3,2,22.2,6,32.9
Queens,Male,Latino/Hispanic,4,33.1,1,25,2,16.6
Queens,Male,White,3,16,0,0,0,0
Queens,Female,Black,6,10.3,0,0,0,0
Queens,Male,Black,12,24.4,2,16.7,5,10.2
Queens,Male,Latino/Hispanic,5,43.8,0,0,0,0
Queens,Female,Black,3,23.3,1,33.3,1,7.8
Queens,Female,Latino/Hispanic,2,4.8,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",7,18.3,0,0,1,2.6
Queens,Male,Black,8,67.1,2,25,3,25.2
Queens,Male,Latino/Hispanic,9,22.3,3,33.3,5,12.4
Queens,Male,Other/Unknown,1,20.4,0,0,0,0
Queens,Male,White,1,4.1,1,100,2,8.2
Queens,Female,Black,2,20.8,0,0,3,31.2
Queens,Female,Latino/Hispanic,5,5.4,1,20,2,2.1
Queens,Female,White,1,3.1,0,0,1,3.1
Queens,Male,"Asian/Pacific
Islander",7,13.4,2,28.6,3,5.8
Queens,Male,Black,2,16.8,0,0,2,16.8
Queens,Male,Latino/Hispanic,53,48.9,15,28.3,26,24
Queens,Male,White,10,30.9,2,20,3,9.3
"Staten
Island",Female,"Asian/Pacific
Islander",1,4.1,0,0,0,0
"Staten
Island",Female,Black,1,4.9,0,0,1,4.9
"Staten
Island",Female,Latino/Hispanic,3,8.1,0,0,0,0
"Staten
Island",Male,"Asian/Pacific
Islander",2,8.7,0,0,0,0
"Staten
Island",Male,Black,10,57,1,10,5,28.5
"Staten
Island",Male,Latino/Hispanic,4,11.2,0,0,5,14
"Staten
Island",Male,Other/Unknown,2,70.7,1,50,1,35.4
"Staten
Island",Male,White,4,3.2,3,75,6,4.8
"Staten
Island",Female,Black,1,12.5,0,0,1,12.5
"Staten
Island",Female,Latino/Hispanic,1,9.9,0,0,0,0
"Staten
Island",Male,"Asian/Pacific
Islander",2,83.8,0,0,0,0
"Staten
Island",Male,Black,3,43.6,0,0,1,14.5
"Staten
Island",Male,Latino/Hispanic,1,9.9,0,0,0,0
"Staten
Island",Male,Latino/Hispanic,2,20.5,0,0,2,20.5
"Staten
Island",Male,Other/Unknown,2,218.7,1,50,1,109.3
"Staten
Island",Male,White,2,3.1,1,50,2,3.1
"Staten
Island",Female,Latino/Hispanic,2,18.9,0,0,0,0
"Staten
Island",Male,Black,6,73.1,1,16.7,2,24.4
"Staten
Island",Male,Latino/Hispanic,1,9.7,0,0,3,29
"Staten
Island",Male,White,2,7.6,2,100,4,15.2
"Staten
Island",Female,"Asian/Pacific
Islander",1,12.1,0,0,0,0
"Staten
Island",Male,Black,1,82.9,0,0,2,165.8
Bronx,Female,Black,52,27.9,12,23.1,55,29.5
Bronx,Female,Latino/Hispanic,32,9.1,7,21.9,27,7.6
Bronx,Female,White,3,5.3,0,0,3,5.3
Bronx,Male,"Asian/Pacific
Islander",6,25,4,66.7,5,20.8
Bronx,Male,Black,102,64.2,18,17.6,98,61.7
Bronx,Male,Latino/Hispanic,162,53.6,27,16.7,94,31.1
Bronx,Male,Other/Unknown,2,31.9,0,0,2,31.9
Bronx,Male,White,12,22.2,2,16.7,11,20.3
Bronx,Female,Black,11,44.9,2,18.2,15,61.2
Bronx,Female,Latino/Hispanic,10,16.1,3,30,5,8
Bronx,Female,White,1,60.5,0,0,2,120.9
Bronx,Male,"Asian/Pacific
Islander",1,54.5,1,100,1,54.5
Bronx,Male,Black,18,80.7,2,11.1,21,94.2
Bronx,Male,Latino/Hispanic,32,61.4,3,9.4,25,48
